id,brand,model,model_name,screen_size,screen_type,resolution,refresh_rate,chipset,cpu_cores,gpu,ram,storage,storage_expandable,rear_camera_main,rear_camera_count,rear_camera_specs,front_camera,video,battery_capacity,charging_wired,charging_wireless,fast_charging,os,network_5g,sim_type,weight,dimensions,water_resistance,material,fingerprint,face_unlock,nfc,infrared,headphone_jack,launch_date,source
apple_iphone16promax,Apple,iPhone 16 Pro Max,iPhone 16 Pro Max,6.9英寸,OLED,2868x1320,120Hz,A18 Pro,6核,Apple 6核GPU,8GB,256GB,False,48MP,3,48MP主摄+48MP超广角+12MP长焦,12MP,4K@120fps,4685mAh,45W,25W MagSafe,True,iOS 18,True,Nano-SIM + eSIM,227g,163.0x77.6x8.3mm,IP68,钛金属,无,True,True,False,False,2024-09-20,jd.com
apple_iphone16,Apple,iPhone 16,iPhone 16,6.1英寸,OLED,2556x1179,60Hz,A18,6核,Apple 5核GPU,8GB,128GB,False,48MP,2,48MP主摄+12MP超广角,12MP,4K@60fps,3561mAh,45W,25W MagSafe,True,iOS 18,True,Nano-SIM + eSIM,170g,147.6x71.6x7.8mm,IP68,铝金属,无,True,True,False,False,2024-09-20,jd.com
samsung_galaxys24ultra,Samsung,Galaxy S24 Ultra,Samsung Galaxy S24 Ultra,6.8英寸,Dynamic AMOLED 2X,3120x1440,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,200MP,4,200MP主摄+12MP超广角+10MP长焦+50MP潜望,12MP,8K@30fps,5000mAh,45W,15W,True,Android 14,True,Nano-SIM + eSIM,232g,162.3x79.0x8.6mm,IP68,钛金属,屏下超声波,True,True,False,False,2024-01-31,jd.com
xiaomi_14ultra,Xiaomi,14 Ultra,Xiaomi 14 Ultra,6.73英寸,AMOLED,3200x1440,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,16GB,512GB,False,50MP,4,50MP主摄+50MP超广角+50MP长焦+50MP潜望,32MP,8K@24fps,5300mAh,90W,80W,True,"Android 14, HyperOS",True,Nano-SIM,224g,161.4x75.3x9.2mm,IP68,素皮/陶瓷,屏下光学,True,True,True,False,2024-02-25,jd.com
huawei_mate60pro,Huawei,Mate 60 Pro,Huawei Mate 60 Pro,6.82英寸,OLED,2720x1260,120Hz,Kirin 9000S,8核,Maleoon 910,12GB,512GB,True,50MP,3,50MP主摄+12MP超广角+48MP潜望长焦,13MP,4K@60fps,5000mAh,88W,50W,True,HarmonyOS 4.0,True,Nano-SIM,225g,163.7x79.0x8.1mm,IP68,金属+玻璃,屏下光学,True,True,True,False,2023-08-29,jd.com
